gene_id,GO,level
Solyc01g088780,GO:0003924,molecular_function
Solyc01g088780,GO:0005525,molecular_function
Solyc01g088800,GO:0003676,molecular_function
Solyc01g088810,GO:0005515,molecular_function
Solyc01g089840,GO:0008883,molecular_function
Solyc01g089840,GO:0033014,biological_process
Solyc01g089840,GO:0050661,molecular_function
Solyc01g089840,GO:0055114,biological_process
Solyc01g089850,GO:0000079,biological_process
Solyc01g089850,GO:0019901,molecular_function
Solyc01g089900,GO:0016757,molecular_function
Solyc01g089950,GO:0005515,molecular_function
Solyc01g089960,GO:0003700,molecular_function
Solyc01g089960,GO:0006355,biological_process
Solyc01g089960,GO:0043565,molecular_function
Solyc01g090120,GO:0009055,molecular_function
Solyc01g090130,GO:0030599,molecular_function
Solyc01g090130,GO:0042545,biological_process
Solyc01g090140,GO:0016491,molecular_function
Solyc01g090140,GO:0055114,biological_process
Solyc01g090170,GO:0003924,molecular_function
Solyc01g090170,GO:0005525,molecular_function
Solyc01g090180,GO:0006725,biological_process
Solyc01g090180,GO:0008198,molecular_function
Solyc01g090180,GO:0016491,molecular_function
Solyc01g090200,GO:0000166,molecular_function
Solyc01g090200,GO:0004820,molecular_function
Solyc01g090200,GO:0005524,molecular_function
Solyc01g090200,GO:0005737,cellular_component
Solyc01g090200,GO:0006426,biological_process
Solyc01g090220,GO:0006629,biological_process
Solyc01g090240,GO:0004672,molecular_function
Solyc01g090240,GO:0005524,molecular_function
Solyc01g090240,GO:0006468,biological_process
Solyc01g090280,GO:0008168,molecular_function
Solyc01g090280,GO:0032259,biological_process
Solyc01g090300,GO:0003700,molecular_function
Solyc01g090300,GO:0006355,biological_process
Solyc01g090310,GO:0003700,molecular_function
Solyc01g090310,GO:0006355,biological_process
Solyc01g090340,GO:0003700,molecular_function
Solyc01g090340,GO:0006355,biological_process
Solyc01g090345,GO:0003700,molecular_function
Solyc01g090345,GO:0006355,biological_process
Solyc01g090370,GO:0003700,molecular_function
Solyc01g090370,GO:0006355,biological_process
Solyc01g090410,GO:0098599,molecular_function
Solyc01g090420,GO:0005515,molecular_function
Solyc01g090430,GO:0043531,molecular_function
Solyc01g090450,GO:0005885,cellular_component
Solyc01g090450,GO:0015629,cellular_component
Solyc01g090450,GO:0030833,biological_process
Solyc01g090450,GO:0034314,biological_process
Solyc01g090460,GO:0003677,molecular_function
Solyc01g090470,GO:0005634,cellular_component
Solyc01g090480,GO:0003723,molecular_function
Solyc01g090490,GO:0003690,molecular_function
Solyc01g090490,GO:0006355,biological_process
Solyc01g090550,GO:0031072,molecular_function
Solyc01g090550,GO:0051082,molecular_function
Solyc01g090560,GO:0003700,molecular_function
Solyc01g090560,GO:0006355,biological_process
Solyc01g090610,GO:0016491,molecular_function
Solyc01g090610,GO:0055114,biological_process
Solyc01g090630,GO:0016491,molecular_function
Solyc01g090630,GO:0055114,biological_process
Solyc01g090650,GO:0005524,molecular_function
Solyc01g090660,GO:0016702,molecular_function
Solyc01g090660,GO:0055114,biological_process
Solyc01g090690,GO:0003924,molecular_function
Solyc01g090690,GO:0005525,molecular_function
Solyc01g090693,GO:0003860,molecular_function
Solyc01g090697,GO:0003860,molecular_function
Solyc01g090710,GO:0016491,molecular_function
Solyc01g090710,GO:0055114,biological_process
Solyc01g090730,GO:0003677,molecular_function
Solyc01g090730,GO:0005634,cellular_component
Solyc01g090750,GO:0005524,molecular_function
Solyc01g090760,GO:0006355,biological_process
Solyc01g090760,GO:0008270,molecular_function
Solyc01g090760,GO:0043565,molecular_function
Solyc01g090790,GO:0046983,molecular_function
Solyc01g090800,GO:0000079,biological_process
Solyc01g090800,GO:0019901,molecular_function
Solyc01g090860,GO:0016779,molecular_function
Solyc01g090880,GO:0006364,biological_process
Solyc01g090920,GO:0005509,molecular_function
Solyc01g091010,GO:0007275,biological_process
Solyc01g091030,GO:0009733,biological_process
Solyc01g091050,GO:0030599,molecular_function
Solyc01g091050,GO:0042545,biological_process
Solyc01g091060,GO:0030599,molecular_function
Solyc01g091060,GO:0042545,biological_process
Solyc01g091100,GO:0004857,molecular_function
Solyc01g091110,GO:0004857,molecular_function
Solyc01g091160,GO:0046872,molecular_function
Solyc01g091170,GO:0046872,molecular_function
Solyc01g091180,GO:0016020,cellular_component
Solyc01g091180,GO:0022857,molecular_function
Solyc01g091180,GO:0055085,biological_process
Solyc01g091190,GO:0016765,molecular_function
Solyc01g091200,GO:0003824,molecular_function
Solyc01g091200,GO:0050662,molecular_function
Solyc01g091210,GO:0006388,biological_process
Solyc01g091210,GO:0016772,molecular_function
Solyc01g091220,GO:0003735,molecular_function
Solyc01g091220,GO:0005622,cellular_component
Solyc01g091220,GO:0005840,cellular_component
Solyc01g091220,GO:0006412,biological_process
Solyc01g091230,GO:0004672,molecular_function
Solyc01g091230,GO:0006468,biological_process
Solyc01g091290,GO:0006904,biological_process
Solyc01g091290,GO:0016192,biological_process
Solyc01g091300,GO:0006904,biological_process
Solyc01g091300,GO:0016192,biological_process
Solyc01g091310,GO:0005515,molecular_function
Solyc01g091320,GO:0005506,molecular_function
Solyc01g091320,GO:0008610,biological_process
Solyc01g091320,GO:0016491,molecular_function
Solyc01g091320,GO:0055114,biological_process
Solyc01g091330,GO:0005515,molecular_function
Solyc01g091350,GO:0003677,molecular_function
Solyc01g091350,GO:0004003,NA
Solyc01g091350,GO:0006303,biological_process
Solyc01g091410,GO:0016787,molecular_function
Solyc01g091430,GO:0016817,molecular_function
Solyc01g091460,GO:0005086,molecular_function
Solyc01g091460,GO:0032012,biological_process
Solyc01g091480,GO:0005515,molecular_function
Solyc01g091500,GO:0005515,molecular_function
Solyc01g091520,GO:0003824,molecular_function
Solyc01g091540,GO:0005524,molecular_function
Solyc01g091540,GO:0005634,cellular_component
Solyc01g091540,GO:0006355,biological_process
Solyc01g091580,GO:0005525,molecular_function
Solyc01g091580,GO:0006614,biological_process
Solyc01g091610,GO:0008270,molecular_function
Solyc01g091620,GO:0004672,molecular_function
Solyc01g091620,GO:0005524,molecular_function
Solyc01g091620,GO:0006468,biological_process
Solyc01g091630,GO:0008289,molecular_function
Solyc01g091640,GO:0008168,molecular_function
Solyc01g091690,GO:0008168,molecular_function
Solyc01g091730,GO:0005779,cellular_component
Solyc01g091730,GO:0016559,biological_process
Solyc01g091740,GO:0005515,molecular_function
Solyc01g091750,GO:0003676,molecular_function
Solyc01g091760,GO:0003700,molecular_function
Solyc01g091760,GO:0006355,biological_process
Solyc01g091820,GO:0004518,molecular_function
Solyc01g091840,GO:0055085,biological_process
Solyc01g091860,GO:0005515,molecular_function
Solyc01g091870,GO:0016021,cellular_component
Solyc01g091870,GO:0055085,biological_process
Solyc01g091890,GO:0005737,cellular_component
Solyc01g091890,GO:0034227,biological_process
Solyc01g091910,GO:0003824,molecular_function
Solyc01g091920,GO:0004252,molecular_function
Solyc01g091920,GO:0006508,biological_process
Solyc01g091930,GO:0004252,molecular_function
Solyc01g091930,GO:0006508,biological_process
Solyc01g091940,GO:0003723,molecular_function
Solyc01g091950,GO:0005509,molecular_function
Solyc01g092950,GO:0003700,molecular_function
Solyc01g092950,GO:0005634,cellular_component
Solyc01g092950,GO:0006355,biological_process
Solyc01g093965,GO:0003700,molecular_function
Solyc01g093965,GO:0005634,cellular_component
Solyc01g093965,GO:0006355,biological_process
Solyc01g093960,GO:0003700,molecular_function
Solyc01g093960,GO:0005634,cellular_component
Solyc01g093960,GO:0006355,biological_process
Solyc01g093970,GO:0016757,molecular_function
Solyc01g093980,GO:0016491,molecular_function
Solyc01g093980,GO:0055114,biological_process
Solyc01g093990,GO:0016616,molecular_function
Solyc01g093990,GO:0051287,molecular_function
Solyc01g093990,GO:0055114,biological_process
Solyc01g094000,GO:0016779,molecular_function
Solyc01g094010,GO:0016787,molecular_function
Solyc01g094020,GO:0004672,molecular_function
Solyc01g094020,GO:0005524,molecular_function
Solyc01g094020,GO:0006468,biological_process
Solyc01g094040,GO:0009055,molecular_function
Solyc01g094060,GO:0005515,molecular_function
Solyc01g094070,GO:0003854,molecular_function
Solyc01g094070,GO:0006694,biological_process
Solyc01g094070,GO:0016616,molecular_function
Solyc01g094070,GO:0055114,biological_process
Solyc01g094080,GO:0005506,molecular_function
Solyc01g094080,GO:0016705,molecular_function
Solyc01g094080,GO:0020037,molecular_function
Solyc01g094080,GO:0055114,biological_process
Solyc01g094090,GO:0003860,molecular_function
Solyc01g094100,GO:0005506,molecular_function
Solyc01g094100,GO:0016705,molecular_function
Solyc01g094100,GO:0020037,molecular_function
Solyc01g094100,GO:0055114,biological_process
Solyc01g094110,GO:0045735,molecular_function
Solyc01g094120,GO:0005506,molecular_function
Solyc01g094120,GO:0016705,molecular_function
Solyc01g094120,GO:0020037,molecular_function
Solyc01g094120,GO:0055114,biological_process
Solyc01g094130,GO:0005506,molecular_function
Solyc01g094130,GO:0016705,molecular_function
Solyc01g094130,GO:0020037,molecular_function
Solyc01g094130,GO:0055114,biological_process
Solyc01g094140,GO:0005506,molecular_function
Solyc01g094140,GO:0016705,molecular_function
Solyc01g094140,GO:0020037,molecular_function
Solyc01g094140,GO:0055114,biological_process
Solyc01g094150,GO:0005524,molecular_function
Solyc01g094200,GO:0004471,molecular_function
Solyc01g094200,GO:0055114,biological_process
